ObjectType;OldId;Name;NewId
page;52193735;"Cash Office No. Series Setup";
page;52193736;"Posted JV Header";
page;52193737;"Sales Invoice - Rich";
page;52193738;"Sales Invoice List - Rich";
page;52193739;"PR Employee Allowances List";
page;52193740;"Released Staff Grants Store Re";
page;52193741;"PR Employee Allowances Card";
page;52193742;"PR Store Requisition";
page;52193743;"Released PR Store Requisition";
page;52193744;"PR Requisitions List";
page;52193745;"Staff Grant Subform";
page;52193746;"By- Product Output Journal";
page;52193747;"Item/Cash Req Page List";
page;52193748;"Item/Cash Requisition Card";
page;52193749;"Item/Cash Invoice";
page;52193750;"Item/Cash Invoices List";
page;52193751;"RFQ Header";
page;52193752;"RFQ Subform";
page;52193753;"RFQ List";
page;52193754;"Quotation Request Vendors";
page;52193755;"Purchase Quote Parameters";
page;52193756;"Destination Rate List";
page;52193757;"Destination Rates Card";
page;52193758;"Closed RFQ Header";
page;52193759;"Closed RFQ List";
page;52193760;"Quote Specifications List";
page;52193761;"Bid Analysis Worksheet";
page;52193762;"Bid Analysis";
page;52193763;"Bid Analysis SubForm";
page;52193764;"HR Employee List (Inactive)";
page;52193765;"HR Shortlisting Filters";
page;52193766;"Acceleration Pool List";
page;52193767;"Acceleration Pool Nom. Card";
page;52193768;"HR Employee Spouse";
page;52193769;"HR Employee In-laws";
page;52193770;"HR Employee Siblings";
page;52193771;"Office Equipments/Machines";
page;52193772;"Employee Referees";
page;52193773;Parents;
page;52193774;"NLC Default";
page;52193776;"Employee Common Activities";
page;52193777;"Payroll Change Card Existing";
page;52193778;"Payroll Change Request Lines";
page;52193779;"Payroll Change List Existing";
page;52193780;"Employee Transfer Allowances";
page;52193781;"Grants Lookup Values List";
page;52193782;"Vendor Category List";
page;52193783;"Vendor Category Card";
page;52193784;"FA WIP Card";
page;52193785;"FA WIP List";
page;52193786;"FA WIP Job Task Lines";
page;52193787;"FA WIP Suggest Lines List";
page;52193788;"Payroll Change List New";
page;52193789;"Payroll Change Card New";
page;52193790;"Investment Card";
page;52193791;"Investment Setup";
page;52193792;"Investment List";
page;52193793;"Investment Companies List";
page;52193794;"Investment Firms Card";
page;52193795;"Investment Types";
page;52193796;Rates;
page;52193797;"Posted Investment List";
page;52193798;"Posted Investment Card";
page;52193799;"Archived Investment List";
page;52193800;"Master Record Creation Card";
page;52193801;"Master Record Creation Lines";
page;52193802;"Master Record Creation List";
page;52193803;"Posted Master Record Card";
page;52193804;"Posted Master Record List";
page;52193805;"Purchase Requisition Card";
page;52193806;"Employee Requisition Internal";
page;52193807;"Employee Requisition External";
page;52193808;"Responsibility Center BR 2";
page;52193809;"HR Leave Relievers card";
page;52193810;"Approval Entries List";
page;52193811;"Online Users Card";
page;52193812;"Employee Separation Card";
page;52193813;"HR Training App Lines Card";
page;52193814;"HR Transport Passengers Card";
page;52193815;"Cash Surrender Lines";
page;52193816;"Concept List";
page;52193817;"Payment Lines grants";
page;52193818;"Payment Header grants";
page;52193819;"Grant Surr List";
page;52193820;"Lab Request Form";
page;52193821;"Project Card";
page;52193822;"Project List";
page;52193823;"Grant Ledger Entries";
page;52193824;"Grant Journal Templates";
page;52193825;"Receipt Header Grants";
page;52193826;"Receipts Line Grants";
page;52193827;"Contract Card";
page;52193828;"Approved Contract Card";
page;52193829;"Contract List";
page;52193830;"Approved Contract List";
page;52193831;"Grant Phase Card New";
page;52193832;"Project/Proposal Area setup";
page;52193833;"Project/Proposal Area";
page;52193834;"Grant Phase Card";
page;52193835;"Grant Phases";
page;52193836;"Grant Surrender";
page;52193837;"Grant Surrender Details";
page;52193838;"Ledger Entry Dimensions";
page;52193839;"Journal Line Dimensions";
page;52193840;"Transport Role Center";
page;52193841;"Grants Manager Activities";
page;52193842;"compliance Manager Role Center";
page;52193843;"compliance Manager Activities";
page;52193844;"Posted Grant Surrender";
page;52193845;"Grant Task Lines";
page;52193846;"Grant Task Card";
page;52193847;"Grant Task List";
page;52193848;"Grant Task Dimensions";
page;52193849;"Grant Planning List";
page;52193850;"Grant WIP Entries";
page;52193851;"Grant WIP G/L Entries";
page;52193852;"Grant Resource Prices";
page;52193853;"Grant Item Prices";
page;52193854;"Grant G/L Account Prices";
page;52193855;"Grant G/L Journal";
page;52193856;"Grant Planning Lines";
page;52193857;"Grant Planning Line Subform";
page;52193858;"Grant Task Statistics";
page;52193859;"Concept Card";
page;52193860;"Proposal Card";
page;52193861;"Approved Proposals Card";
page;52193862;"Approved Concepts";
page;52193863;"Audit Provision";
page;52193864;"Pending donor issues";
page;52193865;"Special Condition for Travel";
page;52193866;"Phase Reporting SchedulesAudit";
page;52193867;"Provision list";
page;52193868;"Reporing Period";
page;52193869;"Project Partners";
page;52193870;"Project Donors";
page;52193871;"Phase Reporting Schedule";
page;52193872;"Project Partners (InE)";
page;52193873;"Project Personnel Cost Alloc";
page;52193874;"Project Roles";
page;52193875;"Budget Grouping Codes";
page;52193876;"Approved Concepts List";
page;52193877;"Donor I/C Account List";
page;52193878;"Proposal List";
page;52193879;"Approved Proposal List";
page;52193880;"Approved Grant List";
page;52193881;"Institutional Departments";
page;52193882;"Grant Clusters";
page;52193883;"Grant Statistics";
page;52193884;"Donors List";
page;52193885;"Donors Card";
page;52193886;"Partners List";
page;52193887;"Partner Card";
page;52193888;"Jobs Card";
page;52193889;"Inspection Lines";
page;52193890;"Inspection List";
page;52193891;"Contract Lines";
page;52193892;Deadlines;
page;52193893;Deliverable;
page;52193894;"Project areas of focus new";
page;52193895;"Ampath Data source forms";
